regional,opco_area,province_code,province_desc,district_code,district_desc,brand,material_code,material_desc,delivery_type,baseunit_of_measure,shipto,shipto_desc,soldto,soldto_desc,plant,plant_name,area_name,segment,segment_material,quantity,revenue,incoterm,date
AREA 1,SP,1013,RIAU,101302,KOTA PEKANBARU,TerraBlock,MAT002,TerraBlock Semen PCC Premium,ZSLF,ZAK,WH-1013-02,Gudang Riau 02,SD-1013-02,PT Distributor Riau 02,PL-001,Pabrik Indarung,AREA 13 PEKANBARU,MB,Retail Bag,125.15,151863893,Delivery,2026-05-10
AREA 5,ST,1034,SULAWESI BARAT,103403,KABUPATEN POLEWALI MANDAR,Atlas,MAT002,Atlas Semen PCC Premium,ZLC,BAG,WH-1034-01,Gudang Sulawesi Barat 01,SD-1034-03,PT Distributor Sulawesi Barat 03,PL-005,Pabrik Pangkep,AREA 75 POLEWALI MDR,MB,Retail Bag,39.93,51887078,Pickup,2026-05-10
AREA 2,SMBR,1016,SUMATERA SELATAN,101602,KOTA PALEMBANG,Monolith,MAT001,Monolith Semen Portland Tipe I,ZLC,BAG,WH-1016-02,Gudang Sumatera Selatan 02,SD-1016-02,PT Distributor Sumatera Selatan 02,PL-002,Pabrik Baturaja,AREA 25 PALEMBANG,MB,Retail Bag,123.7,147788348,Pickup,2026-05-10
AREA 1,SP,1015,JAMBI,101501,KABUPATEN MUARO JAMBI,TerraBlock,MAT002,TerraBlock Semen PCC Premium,ZLF,BAG,WH-1015-01,Gudang Jambi 01,SD-1015-03,PT Distributor Jambi 03,PL-001,Pabrik Indarung,AREA 19 MUARO JAMBI,FB,Retail Bag,126.11,149127975,Delivery,2026-05-10
AREA 5,ST,1040,MALUKU UTARA,104002,KOTA TERNATE,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLFP,BAG,WH-1040-02,Gudang Maluku Utara 02,SD-1040-02,PT Distributor Maluku Utara 02,PL-005,Pabrik Pangkep,AREA 91 MALUKU UTARA,MB,Retail Bag,146.29,156387959,Pickup,2026-05-10
AREA 5,ST,1037,SULAWESI UTARA,103702,KOTA MANADO,Atlas,MAT002,Atlas Semen PCC Premium,ZLF,ZAK,WH-1037-01,Gudang Sulawesi Utara 01,SD-1037-03,PT Distributor Sulawesi Utara 03,PL-005,Pabrik Pangkep,AREA 85 MINAHASA,FB,Retail Bag,144.9,160884063,Delivery,2026-05-10
AREA 5,ST,1032,KALIMANTAN TIMUR,103202,KOTA BALIKPAPAN,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLF,BAG,WH-1032-02,Gudang Kalimantan Timur 02,SD-1032-03,PT Distributor Kalimantan Timur 03,PL-005,Pabrik Pangkep,AREA 67 BALIKPAPAN,MB,Retail Bag,25.67,26457709,Pickup,2026-05-10
AREA 1,SP,1011,SUMATERA UTARA,101102,KOTA MEDAN,Fonda,MAT004,Fonda Semen Portland Komposit,ZLC,ZAK,WH-1011-01,Gudang Sumatera Utara 01,SD-1011-02,PT Distributor Sumatera Utara 02,PL-001,Pabrik Indarung,AREA 05 MEDAN,FB,Retail Bag,39.54,44282150,Pickup,2026-05-10
AREA 5,ST,1041,PAPUA,104102,KOTA JAYAPURA,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLC,ZAK,WH-1041-01,Gudang Papua 01,SD-1041-03,PT Distributor Papua 03,PL-005,Pabrik Pangkep,AREA 95 JAYAPURA,FB,Retail Bag,50.94,63893634,Delivery,2026-05-10
AREA 1,SP,1010,ACEH,101002,KOTA BANDA ACEH,TerraBlock,MAT003,TerraBlock Semen Tecton Khusus,ZLF,ZAK,WH-1010-02,Gudang Aceh 02,SD-1010-01,PT Distributor Aceh 01,PL-001,Pabrik Indarung,AREA 01 BANDA ACEH,MB,Retail Bag,34.38,39537618,Delivery,2026-05-10
AREA 2,SMBR,1016,SUMATERA SELATAN,101601,KABUPATEN MUARA ENIM,Monolith,MAT001,Monolith Semen Portland Tipe I,ZSLF,BAG,WH-1016-01,Gudang Sumatera Selatan 01,SD-1016-02,PT Distributor Sumatera Selatan 02,PL-002,Pabrik Baturaja,AREA 27 OGANKOMERING,FB,Retail Bag,106.13,105647745,Pickup,2026-05-10
AREA 1,SP,1010,ACEH,101002,KOTA BANDA ACEH,TerraBlock,MAT004,TerraBlock Semen Portland Komposit,ZLC,ZAK,WH-1010-01,Gudang Aceh 01,SD-1010-02,PT Distributor Aceh 02,PL-001,Pabrik Indarung,AREA 01 BANDA ACEH,MB,Retail Bag,106.47,136902426,Pickup,2026-05-10
AREA 5,ST,1038,GORONTALO,103802,KOTA GORONTALO,Atlas,MAT002,Atlas Semen PCC Premium,ZSLF,BAG,WH-1038-01,Gudang Gorontalo 01,SD-1038-01,PT Distributor Gorontalo 01,PL-005,Pabrik Pangkep,AREA 83 GORONTALO,MB,Retail Bag,77.05,85059193,Delivery,2026-05-10
AREA 5,ST,1028,NUSA TENGGARA TIMUR,102801,KABUPATEN KUPANG,Atlas,MAT004,Atlas Semen Portland Komposit,ZSLF,BAG,WH-1028-01,Gudang Nusa Tenggara Timur 01,SD-1028-02,PT Distributor Nusa Tenggara Timur 02,PL-005,Pabrik Pangkep,AREA 90 KUPANG,FB,Retail Bag,67.14,69529042,Delivery,2026-05-10
AREA 4,SG,1025,JAWA TIMUR,102503,KOTA MALANG,Vanguard,MAT001,Vanguard Semen Portland Tipe I,ZLFP,BAG,WH-1025-02,Gudang Jawa Timur 02,SD-1025-01,PT Distributor Jawa Timur 01,PL-004,Pabrik Tuban,AREA 53 MALANG,FB,Retail Bag,29.13,32688986,Delivery,2026-05-10
AREA 4,SG,1031,KALIMANTAN TENGAH,103101,KABUPATEN KAPUAS,Primebase,MAT002,Primebase Semen PCC Premium,ZLFP,BAG,WH-1031-02,Gudang Kalimantan Tengah 02,SD-1031-01,PT Distributor Kalimantan Tengah 01,PL-004,Pabrik Tuban,AREA 63 PALANGKARAYA,MB,Retail Bag,98.27,110797950,Delivery,2026-05-10
AREA 1,SP,1014,KEPULAUAN RIAU,101402,KOTA BATAM,Fonda,MAT001,Fonda Semen Portland Tipe I,ZSLF,BAG,WH-1014-02,Gudang Kepulauan Riau 02,SD-1014-03,PT Distributor Kepulauan Riau 03,PL-001,Pabrik Indarung,AREA 16 BATAM,MB,Retail Bag,100.18,95348418,Delivery,2026-05-10
AREA 4,SG,1031,KALIMANTAN TENGAH,103102,KOTA PALANGKA RAYA,Vanguard,MAT002,Vanguard Semen PCC Premium,ZLF,ZAK,WH-1031-02,Gudang Kalimantan Tengah 02,SD-1031-03,PT Distributor Kalimantan Tengah 03,PL-004,Pabrik Tuban,AREA 63 PALANGKARAYA,MB,Retail Bag,89.16,99144671,Delivery,2026-05-10
AREA 5,ST,1034,SULAWESI BARAT,103401,KABUPATEN MAJENE,Atlas,MAT002,Atlas Semen PCC Premium,ZLFP,ZAK,WH-1034-02,Gudang Sulawesi Barat 02,SD-1034-01,PT Distributor Sulawesi Barat 01,PL-005,Pabrik Pangkep,AREA 75 POLEWALI MDR,FB,Retail Bag,60.4,75846635,Delivery,2026-05-10
AREA 3,SBI,1022,JAWA BARAT,102202,KOTA BOGOR,Tecton,MAT003,Tecton Semen Tecton Khusus,ZLC,ZAK,WH-1022-01,Gudang Jawa Barat 01,SD-1022-01,PT Distributor Jawa Barat 01,PL-003,Pabrik Narogong,AREA 35 BOGOR,MB,Retail Bag,10.15,12186029,Delivery,2026-05-11
AREA 3,SBI,1023,JAWA TENGAH,102301,KABUPATEN BANYUMAS,Kinetiq,MAT004,Kinetiq Semen Portland Komposit,ZLFP,ZAK,WH-1023-02,Gudang Jawa Tengah 02,SD-1023-01,PT Distributor Jawa Tengah 01,PL-003,Pabrik Narogong,AREA 42 PURWOKERTO,FB,Retail Bag,56.39,70009933,Delivery,2026-05-11
AREA 3,SBI,1023,JAWA TENGAH,102301,KABUPATEN BANYUMAS,Omnicore,MAT002,Omnicore Semen PCC Premium,ZLFP,BAG,WH-1023-01,Gudang Jawa Tengah 01,SD-1023-01,PT Distributor Jawa Tengah 01,PL-003,Pabrik Narogong,AREA 42 PURWOKERTO,MB,Retail Bag,86.9,83776640,Pickup,2026-05-11
AREA 3,SBI,1021,DKI JAKARTA,102103,KOTA JAKARTA SELATAN,Kinetiq,MAT001,Kinetiq Semen Portland Tipe I,ZLF,BAG,WH-1021-02,Gudang Dki Jakarta 02,SD-1021-01,PT Distributor Dki Jakarta 01,PL-003,Pabrik Narogong,AREA 34 JAKARTA,FB,Retail Bag,133.54,162077631,Delivery,2026-05-11
AREA 1,SP,1010,ACEH,101001,KABUPATEN ACEH BESAR,TerraBlock,MAT001,TerraBlock Semen Portland Tipe I,ZLF,BAG,WH-1010-02,Gudang Aceh 02,SD-1010-02,PT Distributor Aceh 02,PL-001,Pabrik Indarung,AREA 01 BANDA ACEH,MB,Retail Bag,129.15,134623377,Delivery,2026-05-11
AREA 5,ST,1027,NUSA TENGGARA BARAT,102701,KABUPATEN LOMBOK BARAT,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLC,ZAK,WH-1027-01,Gudang Nusa Tenggara Barat 01,SD-1027-03,PT Distributor Nusa Tenggara Barat 03,PL-005,Pabrik Pangkep,AREA 86 LOMBOK,MB,Retail Bag,63.3,74241405,Delivery,2026-05-11
AREA 5,ST,1030,KALIMANTAN SELATAN,103003,KOTA BANJAR BARU,Atlas,MAT004,Atlas Semen Portland Komposit,ZLF,BAG,WH-1030-01,Gudang Kalimantan Selatan 01,SD-1030-03,PT Distributor Kalimantan Selatan 03,PL-005,Pabrik Pangkep,AREA 65 BANJARMASIN,MB,Retail Bag,145.24,186576611,Delivery,2026-05-11
AREA 1,SP,1015,JAMBI,101502,KOTA JAMBI,Fonda,MAT004,Fonda Semen Portland Komposit,ZSLF,BAG,WH-1015-01,Gudang Jambi 01,SD-1015-01,PT Distributor Jambi 01,PL-001,Pabrik Indarung,AREA 18 JAMBI,FB,Retail Bag,10.79,13133760,Delivery,2026-05-11
AREA 1,SP,1014,KEPULAUAN RIAU,101403,KOTA TANJUNG PINANG,TerraBlock,MAT003,TerraBlock Semen Tecton Khusus,ZLC,ZAK,WH-1014-02,Gudang Kepulauan Riau 02,SD-1014-02,PT Distributor Kepulauan Riau 02,PL-001,Pabrik Indarung,AREA 17 KEP. RIAU,FB,Retail Bag,15.27,17479538,Delivery,2026-05-11
AREA 3,SBI,1020,BANTEN,102003,KOTA CILEGON,Omnicore,MAT001,Omnicore Semen Portland Tipe I,ZLF,BAG,WH-1020-01,Gudang Banten 01,SD-1020-01,PT Distributor Banten 01,PL-003,Pabrik Narogong,AREA 33 BANTEN,FB,Retail Bag,89.28,86662131,Delivery,2026-05-11
AREA 3,SBI,1020,BANTEN,102003,KOTA CILEGON,Kinetiq,MAT001,Kinetiq Semen Portland Tipe I,ZSLF,ZAK,WH-1020-01,Gudang Banten 01,SD-1020-02,PT Distributor Banten 02,PL-003,Pabrik Narogong,AREA 33 BANTEN,FB,Retail Bag,99.81,101238580,Pickup,2026-05-11
AREA 4,SG,1029,KALIMANTAN BARAT,102902,KOTA PONTIANAK,Primebase,MAT003,Primebase Semen Tecton Khusus,ZLFP,BAG,WH-1029-01,Gudang Kalimantan Barat 01,SD-1029-03,PT Distributor Kalimantan Barat 03,PL-004,Pabrik Tuban,AREA 58 PONTIANAK,FB,Retail Bag,23.15,26387828,Pickup,2026-05-11
AREA 5,ST,1028,NUSA TENGGARA TIMUR,102802,KOTA KUPANG,Atlas,MAT002,Atlas Semen PCC Premium,ZLC,ZAK,WH-1028-02,Gudang Nusa Tenggara Timur 02,SD-1028-02,PT Distributor Nusa Tenggara Timur 02,PL-005,Pabrik Pangkep,AREA 90 KUPANG,MB,Retail Bag,112.95,136172971,Pickup,2026-05-11
AREA 5,ST,1042,PAPUA BARAT,104202,KOTA SORONG,Atlas,MAT002,Atlas Semen PCC Premium,ZLF,BAG,WH-1042-02,Gudang Papua Barat 02,SD-1042-01,PT Distributor Papua Barat 01,PL-005,Pabrik Pangkep,AREA 93 MANOKWARI,FB,Retail Bag,77.26,100290433,Delivery,2026-05-11
AREA 1,SP,1018,BENGKULU,101802,KOTA BENGKULU,Fonda,MAT002,Fonda Semen PCC Premium,ZLF,ZAK,WH-1018-02,Gudang Bengkulu 02,SD-1018-01,PT Distributor Bengkulu 01,PL-001,Pabrik Indarung,AREA 21 BENGKULU,MB,Retail Bag,80.13,77230415,Delivery,2026-05-11
AREA 5,ST,1033,SULAWESI SELATAN,103301,KABUPATEN MAROS,Atlas,MAT004,Atlas Semen Portland Komposit,ZLF,ZAK,WH-1033-01,Gudang Sulawesi Selatan 01,SD-1033-01,PT Distributor Sulawesi Selatan 01,PL-005,Pabrik Pangkep,AREA 72 MAKASSAR,FB,Retail Bag,122.25,116172096,Delivery,2026-05-11
AREA 5,ST,1032,KALIMANTAN TIMUR,103201,KABUPATEN KUTAI KARTANEGARA,Atlas,MAT002,Atlas Semen PCC Premium,ZLC,BAG,WH-1032-01,Gudang Kalimantan Timur 01,SD-1032-02,PT Distributor Kalimantan Timur 02,PL-005,Pabrik Pangkep,AREA 68 SAMARINDA,FB,Retail Bag,127.68,125225096,Delivery,2026-05-11
AREA 1,SP,1011,SUMATERA UTARA,101101,KABUPATEN DELI SERDANG,Fonda,MAT001,Fonda Semen Portland Tipe I,ZLF,BAG,WH-1011-02,Gudang Sumatera Utara 02,SD-1011-02,PT Distributor Sumatera Utara 02,PL-001,Pabrik Indarung,AREA 06 BINJAI,FB,Retail Bag,130.05,168426844,Pickup,2026-05-11
AREA 5,ST,1036,SULAWESI TENGAH,103602,KOTA PALU,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLF,BAG,WH-1036-02,Gudang Sulawesi Tengah 02,SD-1036-02,PT Distributor Sulawesi Tengah 02,PL-005,Pabrik Pangkep,AREA 81 PALU,MB,Retail Bag,53.37,52883906,Delivery,2026-05-11
AREA 4,SG,1026,BALI,102601,KABUPATEN BADUNG,Vanguard,MAT002,Vanguard Semen PCC Premium,ZSLF,ZAK,WH-1026-02,Gudang Bali 02,SD-1026-03,PT Distributor Bali 03,PL-004,Pabrik Tuban,AREA 57 DENPASAR,FB,Retail Bag,63.33,72177011,Delivery,2026-05-11
AREA 1,SP,1018,BENGKULU,101802,KOTA BENGKULU,Fonda,MAT001,Fonda Semen Portland Tipe I,ZLF,ZAK,WH-1018-01,Gudang Bengkulu 01,SD-1018-01,PT Distributor Bengkulu 01,PL-001,Pabrik Indarung,AREA 21 BENGKULU,FB,Retail Bag,118.76,152659329,Delivery,2026-05-11
AREA 5,ST,1030,KALIMANTAN SELATAN,103003,KOTA BANJAR BARU,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLC,ZAK,WH-1030-02,Gudang Kalimantan Selatan 02,SD-1030-02,PT Distributor Kalimantan Selatan 02,PL-005,Pabrik Pangkep,AREA 65 BANJARMASIN,MB,Retail Bag,126.6,134518070,Delivery,2026-05-11
AREA 5,ST,1028,NUSA TENGGARA TIMUR,102802,KOTA KUPANG,Atlas,MAT001,Atlas Semen Portland Tipe I,ZSLF,ZAK,WH-1028-02,Gudang Nusa Tenggara Timur 02,SD-1028-02,PT Distributor Nusa Tenggara Timur 02,PL-005,Pabrik Pangkep,AREA 90 KUPANG,FB,Retail Bag,48.73,53747484,Delivery,2026-05-11
AREA 2,SMBR,1016,SUMATERA SELATAN,101601,KABUPATEN MUARA ENIM,Monolith,MAT004,Monolith Semen Portland Komposit,ZLC,BAG,WH-1016-02,Gudang Sumatera Selatan 02,SD-1016-01,PT Distributor Sumatera Selatan 01,PL-002,Pabrik Baturaja,AREA 27 OGANKOMERING,MB,Retail Bag,148.33,176738903,Pickup,2026-05-11
AREA 2,SMBR,1015,JAMBI,101502,KOTA JAMBI,Monolith,MAT002,Monolith Semen PCC Premium,ZLC,ZAK,WH-1015-01,Gudang Jambi 01,SD-1015-02,PT Distributor Jambi 02,PL-002,Pabrik Baturaja,AREA 18 JAMBI,MB,Retail Bag,87.9,106560906,Pickup,2026-05-11
AREA 5,ST,1039,MALUKU,103901,KABUPATEN MALUKU TENGAH,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLFP,ZAK,WH-1039-02,Gudang Maluku 02,SD-1039-01,PT Distributor Maluku 01,PL-005,Pabrik Pangkep,AREA 92 MALUKU,FB,Retail Bag,43.49,55301536,Pickup,2026-05-11
AREA 4,SG,1025,JAWA TIMUR,102501,KABUPATEN SIDOARJO,Primebase,MAT002,Primebase Semen PCC Premium,ZLFP,BAG,WH-1025-01,Gudang Jawa Timur 01,SD-1025-03,PT Distributor Jawa Timur 03,PL-004,Pabrik Tuban,AREA 51 SURABAYA,FB,Retail Bag,126.41,127994675,Delivery,2026-05-11
AREA 5,ST,1042,PAPUA BARAT,104202,KOTA SORONG,Atlas,MAT002,Atlas Semen PCC Premium,ZLFP,ZAK,WH-1042-01,Gudang Papua Barat 01,SD-1042-02,PT Distributor Papua Barat 02,PL-005,Pabrik Pangkep,AREA 93 MANOKWARI,FB,Retail Bag,134.95,153941108,Delivery,2026-05-11
AREA 1,SP,1011,SUMATERA UTARA,101101,KABUPATEN DELI SERDANG,TerraBlock,MAT002,TerraBlock Semen PCC Premium,ZSLF,BAG,WH-1011-01,Gudang Sumatera Utara 01,SD-1011-03,PT Distributor Sumatera Utara 03,PL-001,Pabrik Indarung,AREA 06 BINJAI,FB,Retail Bag,34.15,44220732,Pickup,2026-05-11
AREA 1,SP,1012,SUMATERA BARAT,101202,KOTA PADANG,TerraBlock,MAT004,TerraBlock Semen Portland Komposit,ZLFP,BAG,WH-1012-02,Gudang Sumatera Barat 02,SD-1012-02,PT Distributor Sumatera Barat 02,PL-001,Pabrik Indarung,AREA 10 PADANG,FB,Retail Bag,13.19,14991015,Pickup,2026-05-11
AREA 4,SG,1025,JAWA TIMUR,102503,KOTA MALANG,Primebase,MAT004,Primebase Semen Portland Komposit,ZLFP,BAG,WH-1025-01,Gudang Jawa Timur 01,SD-1025-01,PT Distributor Jawa Timur 01,PL-004,Pabrik Tuban,AREA 53 MALANG,FB,Retail Bag,129.05,134058043,Pickup,2026-05-11
AREA 1,SP,1013,RIAU,101301,KABUPATEN KAMPAR,Fonda,MAT001,Fonda Semen Portland Tipe I,ZLC,ZAK,WH-1013-02,Gudang Riau 02,SD-1013-02,PT Distributor Riau 02,PL-001,Pabrik Indarung,AREA 15 KAMPAR,MB,Retail Bag,138.8,144889433,Pickup,2026-05-11
AREA 1,SP,1011,SUMATERA UTARA,101101,KABUPATEN DELI SERDANG,Fonda,MAT002,Fonda Semen PCC Premium,ZLFP,ZAK,WH-1011-02,Gudang Sumatera Utara 02,SD-1011-02,PT Distributor Sumatera Utara 02,PL-001,Pabrik Indarung,AREA 06 BINJAI,MB,Retail Bag,10.43,11195822,Pickup,2026-05-11
AREA 4,SG,1031,KALIMANTAN TENGAH,103103,KABUPATEN KOTAWARINGIN TIMUR,Primebase,MAT001,Primebase Semen Portland Tipe I,ZLFP,BAG,WH-1031-02,Gudang Kalimantan Tengah 02,SD-1031-02,PT Distributor Kalimantan Tengah 02,PL-004,Pabrik Tuban,AREA 62 KOTAWRGN TMR,FB,Retail Bag,40.77,52960882,Delivery,2026-05-11
AREA 2,SMBR,1015,JAMBI,101501,KABUPATEN MUARO JAMBI,Monolith,MAT003,Monolith Semen Tecton Khusus,ZSLF,ZAK,WH-1015-02,Gudang Jambi 02,SD-1015-01,PT Distributor Jambi 01,PL-002,Pabrik Baturaja,AREA 19 MUARO JAMBI,FB,Retail Bag,51.64,50754167,Pickup,2026-05-11
AREA 4,SG,1031,KALIMANTAN TENGAH,103103,KABUPATEN KOTAWARINGIN TIMUR,Vanguard,MAT002,Vanguard Semen PCC Premium,ZLFP,BAG,WH-1031-01,Gudang Kalimantan Tengah 01,SD-1031-01,PT Distributor Kalimantan Tengah 01,PL-004,Pabrik Tuban,AREA 62 KOTAWRGN TMR,MB,Retail Bag,17.96,20384438,Pickup,2026-05-11
AREA 4,SG,1025,JAWA TIMUR,102503,KOTA MALANG,Primebase,MAT001,Primebase Semen Portland Tipe I,ZLC,ZAK,WH-1025-02,Gudang Jawa Timur 02,SD-1025-03,PT Distributor Jawa Timur 03,PL-004,Pabrik Tuban,AREA 53 MALANG,FB,Retail Bag,111.24,141272908,Delivery,2026-05-11
AREA 1,SP,1018,BENGKULU,101801,KABUPATEN REJANG LEBONG,TerraBlock,MAT002,TerraBlock Semen PCC Premium,ZLFP,ZAK,WH-1018-01,Gudang Bengkulu 01,SD-1018-01,PT Distributor Bengkulu 01,PL-001,Pabrik Indarung,AREA 23 LEBONG,FB,Retail Bag,65.89,72170832,Delivery,2026-05-11
AREA 1,SP,1014,KEPULAUAN RIAU,101403,KOTA TANJUNG PINANG,Fonda,MAT001,Fonda Semen Portland Tipe I,ZLC,ZAK,WH-1014-01,Gudang Kepulauan Riau 01,SD-1014-01,PT Distributor Kepulauan Riau 01,PL-001,Pabrik Indarung,AREA 17 KEP. RIAU,MB,Retail Bag,56.22,61916997,Delivery,2026-05-11
AREA 5,ST,1042,PAPUA BARAT,104202,KOTA SORONG,Atlas,MAT004,Atlas Semen Portland Komposit,ZLF,ZAK,WH-1042-02,Gudang Papua Barat 02,SD-1042-03,PT Distributor Papua Barat 03,PL-005,Pabrik Pangkep,AREA 93 MANOKWARI,MB,Retail Bag,126.86,125228834,Pickup,2026-05-11
AREA 3,SBI,1020,BANTEN,102003,KOTA CILEGON,Kinetiq,MAT001,Kinetiq Semen Portland Tipe I,ZLFP,ZAK,WH-1020-01,Gudang Banten 01,SD-1020-02,PT Distributor Banten 02,PL-003,Pabrik Narogong,AREA 33 BANTEN,MB,Retail Bag,67.92,81509433,Pickup,2026-05-11
AREA 4,SG,1031,KALIMANTAN TENGAH,103103,KABUPATEN KOTAWARINGIN TIMUR,Primebase,MAT001,Primebase Semen Portland Tipe I,ZSLF,BAG,WH-1031-02,Gudang Kalimantan Tengah 02,SD-1031-02,PT Distributor Kalimantan Tengah 02,PL-004,Pabrik Tuban,AREA 62 KOTAWRGN TMR,MB,Retail Bag,42.05,53881230,Delivery,2026-05-11
AREA 5,ST,1038,GORONTALO,103801,KABUPATEN GORONTALO,Atlas,MAT002,Atlas Semen PCC Premium,ZLC,ZAK,WH-1038-02,Gudang Gorontalo 02,SD-1038-01,PT Distributor Gorontalo 01,PL-005,Pabrik Pangkep,AREA 83 GORONTALO,FB,Retail Bag,134.92,159499590,Delivery,2026-05-11
AREA 5,ST,1040,MALUKU UTARA,104001,KABUPATEN HALMAHERA UTARA,Atlas,MAT002,Atlas Semen PCC Premium,ZLFP,ZAK,WH-1040-01,Gudang Maluku Utara 01,SD-1040-03,PT Distributor Maluku Utara 03,PL-005,Pabrik Pangkep,AREA 91 MALUKU UTARA,FB,Retail Bag,20.29,19414161,Delivery,2026-05-11
AREA 3,SBI,1020,BANTEN,102002,KOTA SERANG,Omnicore,MAT003,Omnicore Semen Tecton Khusus,ZLF,BAG,WH-1020-01,Gudang Banten 01,SD-1020-01,PT Distributor Banten 01,PL-003,Pabrik Narogong,AREA 33 BANTEN,MB,Retail Bag,92.42,110898547,Pickup,2026-05-11
AREA 5,ST,1032,KALIMANTAN TIMUR,103203,KOTA SAMARINDA,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLC,ZAK,WH-1032-01,Gudang Kalimantan Timur 01,SD-1032-02,PT Distributor Kalimantan Timur 02,PL-005,Pabrik Pangkep,AREA 68 SAMARINDA,FB,Retail Bag,146.47,176711953,Delivery,2026-05-11
AREA 5,ST,1042,PAPUA BARAT,104202,KOTA SORONG,Atlas,MAT004,Atlas Semen Portland Komposit,ZSLF,ZAK,WH-1042-01,Gudang Papua Barat 01,SD-1042-01,PT Distributor Papua Barat 01,PL-005,Pabrik Pangkep,AREA 93 MANOKWARI,MB,Retail Bag,63.48,63259533,Pickup,2026-05-11
AREA 5,ST,1041,PAPUA,104102,KOTA JAYAPURA,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLC,BAG,WH-1041-01,Gudang Papua 01,SD-1041-01,PT Distributor Papua 01,PL-005,Pabrik Pangkep,AREA 95 JAYAPURA,FB,Retail Bag,50.51,60082705,Delivery,2026-05-11
AREA 5,ST,1032,KALIMANTAN TIMUR,103203,KOTA SAMARINDA,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLC,ZAK,WH-1032-02,Gudang Kalimantan Timur 02,SD-1032-01,PT Distributor Kalimantan Timur 01,PL-005,Pabrik Pangkep,AREA 68 SAMARINDA,MB,Retail Bag,36.34,41377886,Pickup,2026-05-12
AREA 5,ST,1041,PAPUA,104102,KOTA JAYAPURA,Atlas,MAT004,Atlas Semen Portland Komposit,ZLC,ZAK,WH-1041-02,Gudang Papua 02,SD-1041-01,PT Distributor Papua 01,PL-005,Pabrik Pangkep,AREA 95 JAYAPURA,FB,Retail Bag,54.49,69849150,Pickup,2026-05-12
AREA 1,SP,1012,SUMATERA BARAT,101202,KOTA PADANG,Fonda,MAT001,Fonda Semen Portland Tipe I,ZSLF,ZAK,WH-1012-01,Gudang Sumatera Barat 01,SD-1012-01,PT Distributor Sumatera Barat 01,PL-001,Pabrik Indarung,AREA 10 PADANG,FB,Retail Bag,104.27,107588288,Delivery,2026-05-12
AREA 5,ST,1037,SULAWESI UTARA,103702,KOTA MANADO,Atlas,MAT004,Atlas Semen Portland Komposit,ZLFP,BAG,WH-1037-01,Gudang Sulawesi Utara 01,SD-1037-03,PT Distributor Sulawesi Utara 03,PL-005,Pabrik Pangkep,AREA 85 MINAHASA,MB,Retail Bag,113.03,119665652,Delivery,2026-05-12
AREA 3,SBI,1017,KEPULAUAN BANGKA BELITUNG,101701,KABUPATEN BANGKA,Omnicore,MAT003,Omnicore Semen Tecton Khusus,ZSLF,BAG,WH-1017-02,Gudang Kepulauan Bangka Belitung 02,SD-1017-01,PT Distributor Kepulauan Bangka Belitung 01,PL-003,Pabrik Narogong,AREA 28 BANGKA BLTNG,FB,Retail Bag,65.98,73073971,Pickup,2026-05-12
AREA 4,SG,1026,BALI,102601,KABUPATEN BADUNG,Primebase,MAT003,Primebase Semen Tecton Khusus,ZLFP,BAG,WH-1026-01,Gudang Bali 01,SD-1026-03,PT Distributor Bali 03,PL-004,Pabrik Tuban,AREA 57 DENPASAR,MB,Retail Bag,148.94,185172931,Delivery,2026-05-12
AREA 5,ST,1040,MALUKU UTARA,104002,KOTA TERNATE,Atlas,MAT002,Atlas Semen PCC Premium,ZLF,ZAK,WH-1040-01,Gudang Maluku Utara 01,SD-1040-03,PT Distributor Maluku Utara 03,PL-005,Pabrik Pangkep,AREA 91 MALUKU UTARA,MB,Retail Bag,48.92,47335823,Delivery,2026-05-12
AREA 5,ST,1039,MALUKU,103901,KABUPATEN MALUKU TENGAH,Atlas,MAT002,Atlas Semen PCC Premium,ZLC,BAG,WH-1039-01,Gudang Maluku 01,SD-1039-02,PT Distributor Maluku 02,PL-005,Pabrik Pangkep,AREA 92 MALUKU,MB,Retail Bag,70.23,85442379,Pickup,2026-05-12
AREA 5,ST,1040,MALUKU UTARA,104001,KABUPATEN HALMAHERA UTARA,Atlas,MAT002,Atlas Semen PCC Premium,ZSLF,BAG,WH-1040-02,Gudang Maluku Utara 02,SD-1040-03,PT Distributor Maluku Utara 03,PL-005,Pabrik Pangkep,AREA 91 MALUKU UTARA,MB,Retail Bag,51.0,54462543,Delivery,2026-05-12
AREA 1,SP,1014,KEPULAUAN RIAU,101402,KOTA BATAM,TerraBlock,MAT002,TerraBlock Semen PCC Premium,ZSLF,ZAK,WH-1014-02,Gudang Kepulauan Riau 02,SD-1014-03,PT Distributor Kepulauan Riau 03,PL-001,Pabrik Indarung,AREA 16 BATAM,FB,Retail Bag,51.94,60539549,Pickup,2026-05-12
